,Address,City,State,Price,SqFt,Beds,Baths
0,3704 Bonnie Rd,Austin,TX,"$2,595,000","3,769 sqft",5bd,6ba
1,504 Sunrise Cir,Austin,TX,"$1,950,000","2,892 sqft",4bd,4ba
2,1204 Kenyon Dr,Austin,TX,"$349,900","1,357 sqft",3bd,2ba
3,2013 Riverview St,Austin,TX,"$950,000","2,068 sqft",3bd,3ba
4,1608 Bridgeway Dr,Austin,TX,"$617,000","1,944 sqft",3bd,3ba
5,2207 Spring Creek Dr,Austin,TX,"$1,050,000","1,930 sqft",3bd,3ba
6,2122 Hancock Dr #106,Austin,TX,"$200,000",564 sqft,1bd,1ba
7,1840 Burton Dr #152,Austin,TX,"$117,000",464 sqft,1bd,1ba
8,2101 Exposition Blvd,Austin,TX,"$1,499,000","3,660 sqft",4bd,4ba
9,13717 Wiregrass Way,Austin,TX,"$514,900","2,684 sqft",4bd,4ba
10,4708 Blue Meadow Dr,Austin,TX,"$195,000","1,456 sqft",4bd,2ba
11,11113 Bright Leaf Ter #11113,Austin,TX,"$250,000","1,231 sqft",3bd,2ba
12,2710 E Side Dr,Austin,TX,"$625,000","1,358 sqft",3bd,2ba
13,14715 Bear Creek Pass,Austin,TX,"$1,700,000","6,365 sqft",4bd,5ba
14,9206 Spring Hollow Dr,Austin,TX,"$749,900","2,352 sqft",4bd,3ba
15,8409 Maine Dr,Austin,TX,"$335,000","1,120 sqft",3bd,1ba
16,1300 Cometa St #2,Austin,TX,"$450,000","1,400 sqft",3bd,3ba
17,2905 Rio Grande St,Austin,TX,"$525,000",846 sqft,2bd,1ba
18,2907 Rio Grande St,Austin,TX,"$875,000","1,247 sqft",2bd,2ba
19,2804 S 1st St #1106,Austin,TX,"$448,000","1,230 sqft",2bd,2ba
20,7709 Manchaca Rd #20,Austin,TX,"$370,000","1,637 sqft",3bd,3ba
21,1820 W 11th St #A,Austin,TX,"$1,000,000","2,525 sqft",4bd,4ba
22,2801 Pearce Rd,Austin,TX,"$2,750,000",800 sqft,2bd,2ba
23,12306 Dellrey Dr,Austin,TX,"$450,000","1,784 sqft",4bd,4ba
