,price,city,address,bedrooms,batrooms,houseSize
0,"$2,595,000","Austin, TX",3704 Bonnie Rd,5bd,6ba,"3,769 sqft"
1,"$1,950,000","South River City, Austin, TX",504 Sunrise Cir,4bd,4ba,"2,892 sqft"
2,"$349,900","Garrison Park, Austin, TX",1204 Kenyon Dr,3bd,2ba,"1,357 sqft"
3,"$950,000","Holly, Austin, TX",2013 Riverview St,3bd,3ba,"2,068 sqft"
4,"$617,000","South Lamar, Austin, TX",1608 Bridgeway Dr,3bd,3ba,"1,944 sqft"
5,"$1,050,000","Barton Hills, Austin, TX",2207 Spring Creek Dr,3bd,3ba,"1,930 sqft"
6,"$200,000","Rosedale, Austin, TX",2122 Hancock Dr #106,1bd,1ba,564 sqft
7,"$117,000","Riverside, Austin, TX",1840 Burton Dr #152,1bd,1ba,464 sqft
8,"$1,499,000","Austin, TX",2101 Exposition Blvd,4bd,4ba,"3,660 sqft"
9,"$514,900","Austin, TX",13717 Wiregrass Way,4bd,4ba,"2,684 sqft"
10,"$195,000","Austin, TX",4708 Blue Meadow Dr,4bd,2ba,"1,456 sqft"
11,"$250,000","Austin, TX",11113 Bright Leaf Ter #11113,3bd,2ba,"1,231 sqft"
12,"$625,000","St. Edwards, Austin, TX",2710 E Side Dr,3bd,2ba,"1,358 sqft"
13,"$1,700,000","Austin, TX",14715 Bear Creek Pass,4bd,5ba,"6,365 sqft"
14,"$749,900","Austin, TX",9206 Spring Hollow Dr,4bd,3ba,"2,352 sqft"
15,"$335,000","North Austin, Austin, TX",8409 Maine Dr,3bd,1ba,"1,120 sqft"
16,"$450,000","MLK, Austin, TX",1300 Cometa St #2,3bd,3ba,"1,400 sqft"
17,"$525,000","West University, Austin, TX",2905 Rio Grande St,2bd,1ba,846 sqft
18,"$875,000","West University, Austin, TX",2907 Rio Grande St,2bd,2ba,"1,247 sqft"
19,"$448,000","Galindo, Austin, TX",2804 S 1st St #1106,2bd,2ba,"1,230 sqft"
20,"$370,000","Austin, TX",7709 Manchaca Rd #20,3bd,3ba,"1,637 sqft"
21,"$1,000,000","Old West Austin, Austin, TX",1820 W 11th St #A,4bd,4ba,"2,525 sqft"
22,"$2,750,000","Austin, TX",2801 Pearce Rd,2bd,2ba,800 sqft
