,Address,City,State,Zip Code,Price,SqFt,Beds,Baths,Link
0,4704 Manchaca Rd,Austin,TX,78745,"$232,800","1,657",3 ,2 ,https://www.zillow.com/homedetails/4704-Manchaca-Rd-Austin-TX-78745/58312923_zpid/
1,806 Bouldin Ave,Austin,TX,78704,"$1,087,650","2,564",4 ,3 ,https://www.zillow.com/homedetails/806-Bouldin-Ave-Austin-TX-78704/29323776_zpid/
2,2013 Shiloh Dr,Austin,TX,78745,"$438,311","2,140",-- ,-- ,https://www.zillow.com/homedetails/2013-Shiloh-Dr-Austin-TX-78745/63838528_zpid/
3,4609 Duval St,Austin,TX,78751,$--,513,1 ,1 ,https://www.zillow.com/homedetails/4609-Duval-St-Austin-TX-78751/29403582_zpid/
4,12412 Tay Ter,Austin,TX,78754,"$228,512","1,203",3 ,2 ,https://www.zillow.com/homedetails/12412-Tay-Ter-Austin-TX-78754/70354536_zpid/
5,5210 Joe Sayers Ave,Austin,TX,78756,"$540,083",850,1 ,1 ,https://www.zillow.com/homedetails/5210-Joe-Sayers-Ave-Austin-TX-78756/29410601_zpid/
6,604 Montopolis Dr,Austin,TX,78741,"$175,865",864,1 ,1 ,https://www.zillow.com/homedetails/604-Montopolis-Dr-Austin-TX-78741/29461197_zpid/
7,5503 Ameswood Dr,Austin,TX,78723,"$463,516","2,120",3 ,2 ,https://www.zillow.com/homedetails/5503-Ameswood-Dr-Austin-TX-78723/72091231_zpid/
8,5307 Harmon Ave,Austin,TX,78751,"$565,378","1,551",3 ,2 ,https://www.zillow.com/homedetails/5307-Harmon-Ave-Austin-TX-78751/29406777_zpid/
9,702 Zennia St,Austin,TX,78751,"$434,780",874,-- ,-- ,https://www.zillow.com/homedetails/702-Zennia-St-Austin-TX-78751/29407818_zpid/
10,5005 Lott Ave,Austin,TX,78721,"$294,866",880,-- ,1 ,https://www.zillow.com/homedetails/5005-Lott-Ave-Austin-TX-78721/29388857_zpid/
11,1614 Cripple Creek Dr,Austin,TX,78758,"$298,328","1,501",4 ,2 ,https://www.zillow.com/homedetails/1614-Cripple-Creek-Dr-Austin-TX-78758/29432873_zpid/
12,5507 Hudson Holw,Austin,TX,78759,$--,"2,488",4 ,2.5 ,https://www.zillow.com/homedetails/5507-Hudson-Holw-Austin-TX-78759/29363917_zpid/
13,3604 Robbins Rd,Austin,TX,78730,$--,,1.03 acres lot,nan,https://www.zillow.com/homedetails/3604-Robbins-Rd-Austin-TX-78730/144173932_zpid/
14,7407 W Gate Blvd,Austin,TX,78745,"$401,581","1,598",4 ,2 ,https://www.zillow.com/homedetails/7407-W-Gate-Blvd-Austin-TX-78745/29494998_zpid/
