,Price (usd),Address,Rooms,Bathrooms,Area (sqrt),Link,typeProperty,yearBuilt,heating,cooling,parking,lot,saleHistory,taxHistory
0,425000,"2804 Tinmouth St, Austin, TX 78748",4,3,2251,https://www.zillow.com/homedetails/2804-Tinmouth-St-Austin-TX-78748/70332517_zpid/,Single Family,2006,Forced air,Central,2,7636,"['7/30/2020', 'Listed for sale', '$425,000 ']","['2019', '$6,377 ', '$336,252 ', '2018', '$6,055 ', '$313,350 ', '2017', '$6,055 ', '$305,204 ']"
1,345000,"5908 Jacob Gln, Austin, TX 78727",3,2,1089,https://www.zillow.com/homedetails/5908-Jacob-Gln-Austin-TX-78727/29447327_zpid/,Single Family,1985,Forced air,Central,2,3963,"['7/30/2020', 'Listed for sale', '$345,000 ']","['2019', '$1,896 ', '$242,424 ', '2018', '$1,605 ', '$211,518 ', '2017', '$1,605 ', '$192,289 ']"
2,330000,"3225 Jewelfish Cv, Austin, TX 78728",3,2,1811,https://www.zillow.com/homedetails/3225-Jewelfish-Cv-Austin-TX-78728/29452801_zpid/,Single Family,1999,Forced air,Central,2,6324,"['7/30/2020', 'Listed for sale', '$330,000 ', '2/27/2015', 'Sold', '$227,500 ', '2/14/2015', 'Pending sale', '$218,000 ', '2/4/2015', 'Listed for sale', '$218,000 ']","['2019', '$5,926 ', '$309,510 ', '2018', '$5,477 ', '$298,332 ', '2017', '$5,477 ', '$276,363 ']"
3,419900,"2453 Rick Whinery Dr, Austin, TX 78728",3,3,2540,https://www.zillow.com/homedetails/2453-Rick-Whinery-Dr-Austin-TX-78728/29452889_zpid/,Single Family,1995,Forced air,Central,2,6621,"['7/30/2020', 'Listed for sale', '$419,900 ']","['2019', '$6,277 ', '$359,783 ', '2018', '$6,155 ', '$321,270 ', '2017', '$6,155 ', '$296,113 ']"
4,1595000,"1605 Westover Rd, Austin, TX 78703",4,4,2832,https://www.zillow.com/homedetails/1605-Westover-Rd-Austin-TX-78703/29335607_zpid/,Single Family,1984,Forced air,Central,1,8276,"['7/30/2020', 'Listed for sale', '$1,595,000 ', '6/15/2020', 'Listing removed', '$1,595,000 ', '5/29/2020', 'Back on market', '$1,595,000 ', '5/23/2020', 'Pending sale', '$1,595,000 ', '5/9/2020', 'Price change', '$1,595,000 ', '4/13/2020', 'Price change', '$1,699,000 ', '3/28/2020', 'Listed for sale', '$1,800,000 ']","['2019', '$16,787 ', '$976,471 ', '2018', '$15,717 ', '$913,000 ', '2017', '$15,717 ', '$842,200 ']"
5,489900,"11610 Shoshone Dr, Austin, TX 78759",3,2,1651,https://www.zillow.com/homedetails/11610-Shoshone-Dr-Austin-TX-78759/29439369_zpid/,Single Family,1973,Forced air,Central,2,7187,"['7/30/2020', 'Listed for sale', '$489,900 ']","['2019', '$7,312 ', '$378,820 ', '2018', '$7,279 ', '$369,000 ', '2017', '$7,279 ', '$328,788 ']"
6,450000,"3308 Oxsheer Dr, Austin, TX 78732",4,3,2752,https://www.zillow.com/homedetails/3308-Oxsheer-Dr-Austin-TX-78732/29359904_zpid/,Single Family,1999,Forced air,Central,2,8755,"['7/30/2020', 'Listed for sale', '$450,000 ']","['2019', '$8,800 ', '$387,500 ', '2018', '$9,350 ', '$393,897 ', '2017', '$9,350 ', '$397,855 ']"
7,415000,"3514 Lafayette Ave, Austin, TX 78722",2,1,776,https://www.zillow.com/homedetails/3514-Lafayette-Ave-Austin-TX-78722/29396380_zpid/,Single Family,1946,Forced air,Central,1,5009,"['7/30/2020', 'Listed for sale', '$415,000 ']","['2019', '$7,384 ', '$344,268 ', '2018', '$8,180 ', '$361,957 ', '2017', '$8,180 ', '$369,450 ']"
8,339900,"2214 Marcus Abrams Blvd, Austin, TX 78748",3,3,1860,https://www.zillow.com/homedetails/2214-Marcus-Abrams-Blvd-Austin-TX-78748/64428565_zpid/,Single Family,2003,Forced air,Central,2,4965,"['7/30/2020', 'Listed for sale', '$339,900 ', '9/29/2016', 'Pending sale', '$269,777 ', '7/22/2016', 'Listed for sale', '$269,777 ']","['2019', '$6,018 ', '$280,571 ', '2018', '$5,813 ', '$270,014 ', '2017', '$5,813 ', '$262,556 ']"
9,2250000,"1403 W 9th St, Austin, TX 78703",3,3,2666,https://www.zillow.com/homedetails/1403-W-9th-St-Austin-TX-78703/29327423_zpid/,Single Family,1878,Forced air,Central,2,8712,"['7/30/2020', 'Listed for sale', '$2,250,000 ']","['2019', '$26,356 ', '$1,449,527 ', '2018', '-- ', '$1,098,657 ', '2017', '-- ', '$998,779 ']"
10,379000,"6805 Windrift Way, Austin, TX 78745",4,2,1368,https://www.zillow.com/homedetails/6805-Windrift-Way-Austin-TX-78745/29497664_zpid/,Single Family,1974,Forced air,Central,2,7797,"['7/30/2020', 'Listed for sale', '$379,000 ']","['2019', '$2,147 ', '$303,959 ', '2018', '$1,806 ', '$242,876 ', '2017', '$1,806 ', '$220,796 ']"
